epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,92.4971,1.94508,2.38291,1.63481,1.49507,0,0.40218,0.6,0.45954,0.21863,0.38713,0.46667,0.44275,0.19226,2.09417,3.09629,1.67311,1.83564,0,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,96.4094,1.96529,2.65715,1.80497,1.52424,0,0.4745,0.4,0.46767,0.24057,0.4745,0.4,0.42557,0.18629,2.05494,2.93627,1.67146,1.80497,0,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,100.781,1.98432,2.74661,1.65831,1.54044,0,0.38719,0.53333,0.45774,0.24082,0.38364,0.53333,0.43708,0.19502,2.07429,2.83279,1.731,1.86977,0,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,105.094,1.97519,2.46142,1.59075,1.54121,0,0.31982,0.6,0.43369,0.23469,0.96752,0.26667,0.44231,0.19209,2.00713,2.89383,1.56821,1.80382,0,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,109.045,1.88311,2.48155,1.59258,1.51784,0,0.51565,0.35629,0.45508,0.25182,0.51565,0.35629,0.45247,0.19749,2.01378,2.9874,1.67138,1.80751,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,113.35,1.87693,2.50568,1.51101,1.46953,0,0.54527,0.56061,0.56478,0.28212,0.54527,0.56061,0.54673,0.22311,2.07734,3.06627,1.63415,1.8379,0,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,117.768,2.05582,2.54251,1.59812,1.57247,0,0.57187,0.4,0.49735,0.25753,0.51274,0.42208,0.50101,0.2186,1.73693,3.32065,1.95464,1.5415,0,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,121.713,1.96703,2.42672,1.57123,1.52599,0,0.61286,0.42359,0.52016,0.25876,0.39274,0.4,0.44638,0.22499,1.8733,3.32212,1.82908,1.56251,0,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,125.717,1.81654,2.48029,1.52361,1.44318,0,0.98139,0.26667,0.46368,0.24654,0.37097,0.6,0.47184,0.21128,1.98355,3.20203,1.83386,1.59906,0,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,129.68,1.94611,2.39614,1.49606,1.51826,0,0.66685,0.33333,0.50251,0.27115,0.52244,0.4,0.48806,0.23812,1.86705,3.2993,1.78593,1.58706,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,134.062,1.78396,2.44645,1.49045,1.46548,0,0.58009,0.46667,0.51249,0.24602,0.68897,0.4446,0.51883,0.22469,2.00232,3.15062,1.75706,1.56159,0,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,137.949,1.92433,2.60761,1.46932,1.49889,0,0.59827,0.39741,0.47091,0.2349,0.30049,0.53333,0.38292,0.1967,2.14133,3.18132,1.85145,1.60906,0,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,142.012,1.92222,2.43016,1.48968,1.53168,0,0.61265,0.33333,0.43705,0.21447,0.61265,0.33333,0.41522,0.19337,2.10537,3.05149,1.83432,1.61211,0,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,146.03,1.74118,2.51256,1.56009,1.43685,0,0.77002,0.46667,0.55377,0.24089,0.84687,0.37122,0.49082,0.20823,2.1578,3.00081,1.74332,1.63155,0,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,150.131,1.89505,2.43299,1.43527,1.46621,0,0.86796,0.4404,0.55219,0.26893,0.86796,0.4404,0.53142,0.22444,1.9201,3.03068,1.7396,1.5551,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,154.425,1.85763,2.47635,1.52107,1.46596,0,0.95199,0.4,0.54741,0.247,0.79132,0.33333,0.43646,0.23226,1.92152,3.00472,1.67337,1.53827,0,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,158.279,1.82217,2.3676,1.35202,1.43868,0,0.8252,0.4,0.54997,0.25993,0.8252,0.4,0.48315,0.23386,1.78383,3.01231,1.67359,1.50159,0,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,162.306,1.77701,2.31359,1.36302,1.42937,0,0.96499,0.33333,0.54282,0.25222,0.64094,0.4,0.48474,0.23258,1.78716,3.11912,1.70954,1.48943,0,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,166.304,1.84127,2.34496,1.43456,1.47249,0,1,0.39715,0.58815,0.24682,1,0.39715,0.53899,0.23062,1.77873,3.10972,1.61493,1.46038,0,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,170.333,1.81361,2.37898,1.50864,1.51617,0,0.79567,0.4,0.5571,0.2938,0.82904,0.4,0.50832,0.24873,1.74723,3.29054,1.63001,1.45318,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,174.431,1.84039,2.3618,1.5198,1.49876,0,0.85633,0.39772,0.50299,0.31072,0.85633,0.39772,0.47351,0.24813,1.7248,3.35015,1.63703,1.43032,0,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,178.734,1.83791,2.42069,1.4332,1.51116,0,1,0.39861,0.49182,0.29478,1,0.39861,0.47641,0.24726,1.68516,3.30356,1.65456,1.42969,0,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,182.676,1.82146,2.35662,1.39272,1.5422,0,0.67872,0.46667,0.54597,0.2921,0.74797,0.39622,0.43446,0.26149,1.72434,3.25084,1.68593,1.45201,0,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,186.454,1.72937,2.30324,1.44791,1.46601,0,0.72267,0.4,0.4961,0.28775,0.72267,0.4,0.45775,0.25702,1.69479,3.12847,1.61068,1.41237,0,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,190.327,1.79757,2.35834,1.47215,1.49557,0,0.72037,0.4,0.51405,0.28062,0.72037,0.4,0.47445,0.25662,1.69933,3.11977,1.61185,1.38761,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,194.253,1.8956,2.27428,1.52007,1.60063,0,0.74221,0.38546,0.47271,0.26296,0.60889,0.4,0.4819,0.2464,1.74971,3.10334,1.64474,1.39667,0,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,198.233,1.78797,2.2611,1.38616,1.50487,0,0.66489,0.46667,0.53591,0.28275,0.66489,0.46667,0.4963,0.2704,1.70992,3.09567,1.60388,1.38803,0,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,202.192,1.85158,2.22468,1.49798,1.53471,0,0.63665,0.53333,0.56709,0.26784,0.55707,0.46667,0.49033,0.24837,1.80015,3.08374,1.69827,1.39953,0,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,206.013,1.82211,2.33749,1.42312,1.5312,0,0.68492,0.4,0.55267,0.2784,0.72271,0.4,0.48932,0.26216,1.75222,3.08266,1.69578,1.38148,0,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
