epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,68.4851,1.75872,2.41732,1.62505,1.42517,0,0.60908,0.46667,0.55124,0.2258,0.60908,0.46667,0.48663,0.18099,1.95184,3.52543,1.71457,1.54597,0,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
23,71.2791,1.76878,2.33359,1.49834,1.42278,0,0.5199,0.4,0.48566,0.23599,0.60802,0.46667,0.46737,0.203,1.90487,3.41431,1.65853,1.48727,0,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637
24,74.1092,1.77646,2.36691,1.51976,1.45689,0,0.53378,0.46667,0.51284,0.27323,0.5303,0.53333,0.50683,0.2012,1.83305,3.18989,1.62489,1.48126,0,0.0048615,0.0016205,0.0048615,0.0016205,0.0048615,0.0016205,0.0048615,0.0016205
25,77.3001,1.80385,2.52312,1.47836,1.44005,0,0.46398,0.66667,0.6036,0.27245,0.50977,0.6,0.48763,0.18235,1.74707,3.0692,1.62436,1.40089,0,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
26,80.0534,1.72842,2.2535,1.37847,1.41678,0,0.46426,0.6,0.57138,0.28059,0.50915,0.6,0.51032,0.2126,1.86752,3.26379,1.51392,1.44561,0,0.0047625,0.0015875,0.0047625,0.0015875,0.0047625,0.0015875,0.0047625,0.0015875
27,83.1492,1.62495,2.1604,1.31825,1.33611,0,0.43716,0.57042,0.50323,0.27529,0.47425,0.60144,0.5571,0.22808,1.89984,3.4911,1.45953,1.44261,0,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571
28,86.3153,1.75008,2.42006,1.43166,1.40151,0,0.46114,0.6,0.57155,0.25372,0.52525,0.6,0.53587,0.21979,1.92605,3.30348,1.42623,1.47022,0,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
29,88.9952,1.66017,2.23066,1.33625,1.36016,0,0.46035,0.53333,0.49411,0.23577,0.46035,0.53333,0.46509,0.18111,1.99131,3.21769,1.4605,1.52171,0,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
30,91.7333,1.69614,2.24538,1.2868,1.33745,0,0.71924,0.51371,0.60772,0.28291,0.65652,0.53333,0.56069,0.23005,2.06888,3.62159,1.51467,1.62678,0,0.0045645,0.0015215,0.0045645,0.0015215,0.0045645,0.0015215,0.0045645,0.0015215
31,94.9771,1.68913,2.12103,1.256,1.31011,0,0.62117,0.65644,0.61325,0.30478,0.56036,0.5951,0.53107,0.25449,2.02552,3.33847,1.43248,1.55369,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
32,98.2661,1.63363,2.16423,1.25221,1.3416,0,0.69471,0.53333,0.64987,0.27243,0.60108,0.46667,0.5361,0.25866,1.99109,3.35587,1.45064,1.49664,0,0.0044655,0.0014885,0.0044655,0.0014885,0.0044655,0.0014885,0.0044655,0.0014885
33,101.057,1.6786,2.32133,1.32173,1.32996,0,0.61412,0.66667,0.70004,0.26889,0.60105,0.46667,0.5207,0.23593,2.10977,3.28776,1.50339,1.58072,0,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
34,103.993,1.68686,2.2594,1.30574,1.37251,0,0.79748,0.53333,0.62532,0.25535,0.56904,0.46667,0.50751,0.22839,2.12587,3.57705,1.50691,1.65097,0,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
35,106.784,1.58273,2.07521,1.21616,1.31094,0,0.62656,0.66667,0.63942,0.27568,0.51657,0.6,0.51598,0.21227,2.0531,3.17288,1.41009,1.57071,0,0.004317,0.001439,0.004317,0.001439,0.004317,0.001439,0.004317,0.001439
36,109.635,1.62841,2.19136,1.22578,1.31018,0,0.68148,0.73333,0.7351,0.35738,0.58843,0.46667,0.54963,0.27573,1.88582,2.95624,1.37947,1.49274,0,0.0042675,0.0014225,0.0042675,0.0014225,0.0042675,0.0014225,0.0042675,0.0014225
37,112.778,1.4792,2.12623,1.11332,1.2375,0,0.6155,0.74764,0.77644,0.36415,0.7601,0.46667,0.59016,0.26641,1.79408,3.01029,1.25957,1.46167,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
38,115.541,1.56343,2.10549,1.25064,1.32812,0,0.71226,0.66052,0.76967,0.3487,0.87407,0.46318,0.60763,0.27589,1.8462,2.84315,1.28441,1.47756,0,0.0041685,0.0013895,0.0041685,0.0013895,0.0041685,0.0013895,0.0041685,0.0013895
39,118.337,1.50277,2.05741,1.12272,1.25383,0,0.7933,0.53333,0.70591,0.32759,0.68912,0.46667,0.55352,0.2554,1.88145,2.92847,1.277,1.46554,0,0.004119,0.001373,0.004119,0.001373,0.004119,0.001373,0.004119,0.001373
40,121.163,1.55851,2.09219,1.12812,1.318,0,0.59363,0.66667,0.65701,0.32729,0.53294,0.6,0.57436,0.26974,1.85223,2.73487,1.26963,1.45596,0,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
41,123.891,1.52316,2.02222,1.11607,1.27406,0,0.81842,0.66667,0.7301,0.34249,0.69901,0.6,0.65412,0.27636,1.86603,2.74068,1.29003,1.50755,0,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
42,126.672,1.45997,1.86988,0.9957,1.23695,0,0.60249,0.66667,0.70867,0.32368,0.85276,0.46667,0.59274,0.26565,1.95687,2.84015,1.23769,1.50739,0,0.0039705,0.0013235,0.0039705,0.0013235,0.0039705,0.0013235,0.0039705,0.0013235
43,129.427,1.45352,2.00134,1.06583,1.25319,0,0.67723,0.84014,0.74356,0.3261,0.53788,0.62159,0.59804,0.27807,1.94962,2.92172,1.24319,1.50365,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
44,132.26,1.52799,2.11146,1.11563,1.27777,0,0.745,0.8,0.80978,0.31889,0.58077,0.6,0.59182,0.26492,2.03136,2.89405,1.17021,1.46968,0,0.0038715,0.0012905,0.0038715,0.0012905,0.0038715,0.0012905,0.0038715,0.0012905
45,134.977,1.53502,1.99679,1.10669,1.30915,0,0.686,0.8,0.7385,0.33688,0.64606,0.73333,0.73564,0.30007,1.89791,2.68759,1.2296,1.45391,0,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
46,138.124,1.44504,1.85328,1.0687,1.23344,0,0.71585,0.8,0.81655,0.31639,0.885,0.51468,0.70489,0.27063,2.07432,2.83452,1.29202,1.55199,0,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
47,140.834,1.4642,1.90359,1.06615,1.22693,0,0.93447,0.6,0.80442,0.32176,0.88081,0.53333,0.60756,0.28825,2.05748,2.84632,1.25486,1.588,0,0.003723,0.001241,0.003723,0.001241,0.003723,0.001241,0.003723,0.001241
48,143.752,1.39526,1.86845,0.99156,1.21821,0,0.76531,0.65307,0.71261,0.33319,0.6902,0.59451,0.65224,0.30488,1.88501,2.67262,1.29038,1.46693,0,0.0036735,0.0012245,0.0036735,0.0012245,0.0036735,0.0012245,0.0036735,0.0012245
49,146.903,1.39806,1.89775,1.04747,1.23693,0,0.89729,0.73333,0.76659,0.31514,0.67143,0.53333,0.53734,0.26791,1.96879,2.77131,1.27801,1.48922,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
50,149.589,1.4098,1.83363,0.94836,1.22205,0,0.86602,0.86214,0.82971,0.36449,0.71402,0.66667,0.7018,0.33742,1.9093,2.6797,1.23009,1.43529,0,0.0035745,0.0011915,0.0035745,0.0011915,0.0035745,0.0011915,0.0035745,0.0011915
51,152.733,1.34637,1.84003,0.93422,1.17327,0,0.6646,0.73333,0.71174,0.37284,0.68532,0.73333,0.76479,0.31352,1.85454,2.86452,1.27305,1.42024,0,0.003525,0.001175,0.003525,0.001175,0.003525,0.001175,0.003525,0.001175
